name,price,size,img1
Men's Business Stripe Logo Button-Down Short Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/5f12e0f7576ec9e0806f115ba2f64ac8fa5fd363-1300.jpg?v=1748507320
Men's Business Stripe Logo Button-Down Short Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/e972427097ea216534221c98a62d70603ceabc71-1100.jpg?v=1748507318
Men's Casual Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/528916e6e7da5f2774f9ca597ac5daa80dce0874-1300.jpg?v=1748507316
Men's Casual Business Stripe Print Button-Down Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/3d1325e32626a9660f3a5991de29c309741a2d3e-1100.jpg?v=1748507313
Men's Casual Business Button Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/1d9445b8cf3dcfc4326ff8fca6de05cdde3bf7f4-1200.jpg?v=1748507311
Men's Casual Business Stripe Print Button-Down Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/7526579e5dd23719d1b67c55f5d39073c96bdd62-1200.jpg?v=1748507309
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/a7aa4a3023e2f4f6cd5971f50a03f97d10fe042f-1000.jpg?v=1748507307
Men's Retro Business Stripe Print Half Sleeve POLO T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/bc8a9066551436a05a917fedfd2633021d68cc53.jpg?v=1748507304
Men's Vintage Business Half Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/7201f2b587656eb4c6a3f5e7eb7fbd1491097c3f-1100.jpg?v=1748507302
Men's Vintage Business Half Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/a920442a898a9603ebbfd70d7bf2f78538b0e59d-1000.jpg?v=1748507301
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/fe9f4a1c3f6950b14b98d44dd41718a80e20c5f8-1000.jpg?v=1748507299
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/6061d4e324ef6b54faa1eafa256d08ba419e4dc1-1200.png?v=1748507297
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/dd100ed3e04d74b9480889838db235eeecd4ec51-1000.jpg?v=1748507295
Men's Vintage Business Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/d0b2fef9fcd6fe43bd694917e104fc184df7f711-1000.jpg?v=1748507292
Men's Vintage Business Half Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/aaebf6d5b726226af95c25a1d1948b9323c5d792-1200.png?v=1748507290
Men's Casual Business Button Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/8d80e1f115a7737146347ccdfff8b3000f33470e-1200.jpg?v=1748507288
Men's Retro Business Stripe Print Long Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/4d89e7a92e556e98b2962e15c1fb8f481c710ae7-1200.jpg?v=1748507287
Men's Business Stripe Logo Button-Down Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/76758ec89764f801cf3fddb4a9f404d989f4955c-1000.jpg?v=1748507283
Men's Business Logo Button-Down Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/b8254728e928a3354c77bed9b3874961220acbb1-900.png?v=1748507281
Men's Casual Business Button Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/37fb778a1c53e71d5ba873b86942446fd5f39547-1800.jpg?v=1748507279
Men's Business Stripe Logo Button-Down Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/66a9d70a4d0b87f55f6b8ef38f2e057721afc132-2000.jpg?v=1748507276
Men's Business Stripe Logo Button-Down Short Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/da99f7d9f0cf4cb20f499c7398b51b7da35f30c5-900.jpg?v=1748507275
Men's Retro Business Stripe Print Half Sleeve POLO T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/0047f9c6e3892f01ed55c6c729b6d0ea8e188205.jpg?v=1748507273
Men's Vintage Business Half Sleeve Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/fffca7eb235fa5c39b6227dd0415a618ff43bd05-900.jpg?v=1748507271
Men's Business Luxury Printed Button Short Sleeve Polo T-Shirt,99.0,S,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/320ceaa9480522cc9c72e8bb0de8dd91c849087f-1200.jpg?v=1748507269
Eminence Icon Legacy Polo T-Shirt,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_5.png?v=1748507267
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_6.png?v=1748507267
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_7.png?v=1748507267
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_5.png?v=1748507267
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_6.png?v=1748507267
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_7.png?v=1748507267
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_5.png?v=1748507267
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_6.png?v=1748507267
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_7.png?v=1748507267
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_5.png?v=1748507267
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_6.png?v=1748507267
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_7.png?v=1748507267
Geometric Grid Luxe Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_1.jpg?v=1748507256
,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_4.jpg?v=1748507256
,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_5.jpg?v=1748507256
,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_2.jpg?v=1748507256
,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_3.jpg?v=1748507256
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_1.jpg?v=1748507256
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_4.jpg?v=1748507256
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_5.jpg?v=1748507256
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_2.jpg?v=1748507256
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_3.jpg?v=1748507256
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_1.jpg?v=1748507256
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_4.jpg?v=1748507256
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_5.jpg?v=1748507256
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_2.jpg?v=1748507256
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_3.jpg?v=1748507256
,99.0,XXL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_1.jpg?v=1748507256
,99.0,XXL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_4.jpg?v=1748507256
,99.0,XXL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_5.jpg?v=1748507256
,99.0,XXL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_2.jpg?v=1748507256
,99.0,XXL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_3.jpg?v=1748507256
