Handle	Title	Body (HTML)	Vendor		Type	Tags	Published	Option1 Name	Option1 Value	Option2 Name	Option2 Value	Option3 Name	Option3 Value	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Variant Barcode	Image Src	Image Position	Image Alt Text	Gift Card	Variant Image	Variant Weight Unit	Variant Tax Code	Cost per item
boldmove-imported-short-sleeve-tee								Size	3XL	Color	Black				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49_2.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	3XL	Color	Blue				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49.jpg?v=1749572730			
chroma-crisp-polo	Chroma Crisp Polo T-Shirt	"<p>Elevate your style with the Chroma Crisp Polo, crafted from the finest imported cotton for unmatched comfort and breathability. This classic polo features a sleek design with vibrant, lasting colors that add a touch of sophistication to any casual or semi-formal ensemble. Perfect for any occasion, the Chroma Crisp Polo combines timeless elegance with modern flair.</p> <p><strong>Key Features:</strong></p> <ul> <li> <strong>Premium Imported Cotton:</strong> Enjoy the luxurious feel and durability of high-quality cotton.</li> <li> <strong>Vibrant Colors:</strong> The rich hues remain vivid even after multiple washes.</li> <li> <strong>Classic Design:</strong> A versatile piece that complements both casual and semi-formal outfits.</li> <li> <strong>Comfort Fit:</strong> Designed for a comfortable, flattering fit.</li> <li> <strong>Breathable Fabric:</strong> Keeps you cool and comfortable all day long.</li> </ul> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Standard Sizing: We follow our sizes do not vary by more than +/- 0.5 inches.</strong></p> <p><strong data-mce-fragment=""1"">Actual color of the product may vary slightly due to photographic lighting sources or your device.</strong></p> <h2 data-mce-fragment=""1""><strong>Size Chart:</strong></h2> <table width=""64%"" data-mce-fragment=""1""> <tbody data-mce-fragment=""1""> <tr data-mce-fragment=""1""> <td width=""68"" data-mce-fragment=""1""> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Size</strong></p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Chest</strong></p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Shoulder</strong></p> </td> <td width=""54"" data-mce-fragment=""1""> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Length</strong></p> </td> </tr> <tr data-mce-fragment=""1""> <td width=""68"" data-mce-fragment=""1""> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">S</strong></p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">38</p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">15.50</p> </td> <td width=""54"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">25.50</p> </td> </tr> <tr data-mce-fragment=""1""> <td width=""68"" data-mce-fragment=""1""> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">M</strong></p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">40</p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">16.50</p> </td> <td width=""54"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">26.50</p> </td> </tr> <tr data-mce-fragment=""1""> <td width=""68"" data-mce-fragment=""1""> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">L</strong></p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">42</p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">17.50</p> </td> <td width=""54"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">27.50</p> </td> </tr> <tr data-mce-fragment=""1""> <td width=""68"" data-mce-fragment=""1""> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">XL</strong></p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">44</p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">18.50</p> </td> <td width=""54"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">28.50</p> </td> </tr> <tr data-mce-fragment=""1""> <td width=""68"" data-mce-fragment=""1""> <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">XXL</strong></p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">46</p> </td> <td width=""83"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">19.50</p> </td> <td width=""54"" data-mce-fragment=""1""> <p data-mce-fragment=""1"">29.50</p> </td> </tr> </tbody> </table>"	TEES		T-Shirts		2025-06-10T21:53:01+05:30	Size	S/38	Color	Grey			SP08-S-Grey	300			deny	manual	99	1699		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-4.png?v=1749572591	1			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-4.png?v=1749572591			
chroma-crisp-polo								Size	S/38	Color	Navy Blue			SP08-S-Navy Blue	300			deny	manual	99	1699		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Poshpeno1722929903714-142355969.jpg?v=1749572591	2			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Poshpeno1722929903714-142355969.jpg?v=1749572591			
chroma-crisp-polo								Size	S/38	Color	White			SP08-S-White	300			deny	manual	99	1699		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-6.png?v=1749572591	3			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-6.png?v=1749572591			
chroma-crisp-polo								Size	S/38	Color	Black			SP08-S-Black	300			deny	manual	99	1699		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-5.png?v=1749572591	4			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-5.png?v=1749572591			
chroma-crisp-polo								Size	M/40	Color	Grey			SP08-M-Grey	300			deny	manual	99	1699		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/138d20b1-087f-49bf-8ab9-c22ef1175cfb.jpg?v=1749572591	5			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-4.png?v=1749572591			
chroma-crisp-polo								Size	M/40	Color	Navy Blue			SP08-M-Navy Blue	300			deny	manual	99	1699		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/0e92fd81-9405-44b0-bc52-d76d7c37e0a4.jpg?v=1749572591	6			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Poshpeno1722929903714-142355969.jpg?v=1749572591			
chroma-crisp-polo								Size	M/40	Color	White			SP08-M-White	300			deny	manual	99	1699		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-1.png?v=1749572591	7			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-6.png?v=1749572591			
chroma-crisp-polo								Size	M/40	Color	Black			SP08-M-Black	300			deny	manual	99	1699		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-2.png?v=1749572591	8			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-5.png?v=1749572591			
